"MacroTrends Data Download"
"BRK.A - Historical Price and Volume Data"
"Note: Historical prices are adjusted for stock splits."

"Disclaimer and Terms of Use: Historical stock data is provided 'as is' and solely for informational purposes, not for trading purposes or advice."
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, "
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable"
"for any damages relating to your use of the data provided."


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date,open,high,low,close,volume
1981-08-11,485,485,485,485,0
1981-08-12,500,520,500,500,10000
1981-08-13,520,535,520,520,60000
1981-08-14,520,520,520,520,0
1981-08-17,520,530,515,515,10000
1981-08-18,515,530,515,515,10000
1981-08-19,515,530,515,515,10000
1981-08-20,515,515,515,515,0
1981-08-21,515,515,515,515,0
1981-08-24,515,515,515,515,0
1981-08-25,515,520,500,500,10000
1981-08-26,500,500,500,500,0
1981-08-27,500,500,500,500,0
1981-08-28,500,500,500,500,0
1981-08-31,500,500,500,500,0
1981-09-01,500,505,485,485,10000
1981-09-02,485,500,485,485,10000
1981-09-03,485,500,485,485,10000
1981-09-04,485,485,485,485,0
1981-09-08,485,485,485,485,0
1981-09-09,485,485,485,485,0
1981-09-10,485,505,485,485,20000
1981-09-11,485,485,485,485,0
1981-09-14,485,485,485,485,0
1981-09-15,485,500,485,485,20000
1981-09-16,485,485,485,485,0
1981-09-17,485,485,485,485,0
1981-09-18,485,485,485,485,0
1981-09-21,485,485,485,485,0
1981-09-22,485,485,485,485,0
1981-09-23,485,495,475,475,10000
1981-09-24,475,475,475,475,0
1981-09-25,475,480,465,465,10000
1981-09-28,465,480,460,460,10000
1981-09-29,460,480,460,460,10000
1981-09-30,460,480,460,460,10000
1981-10-01,460,460,460,460,0
1981-10-02,460,460,460,460,0
1981-10-05,460,460,460,460,0
1981-10-06,460,460,460,460,0
1981-10-07,460,460,460,460,0
1981-10-08,460,460,460,460,0
1981-10-09,460,460,460,460,0
1981-10-12,465,480,465,465,10000
1981-10-13,465,465,465,465,0
1981-10-14,470,485,470,470,50000
1981-10-15,470,470,470,470,0
1981-10-16,470,470,470,470,0
1981-10-19,470,470,470,470,0
1981-10-20,470,470,470,470,0
1981-10-21,480,495,480,480,10000
1981-10-22,480,500,480,480,10000
1981-10-23,485,505,485,485,20000
1981-10-26,485,500,485,485,10000
1981-10-27,485,505,485,485,10000
1981-10-28,485,485,485,485,0
1981-10-29,485,485,485,485,0
1981-10-30,505,525,505,505,10000
1981-11-02,505,525,505,505,10000
1981-11-03,520,535,520,520,30000
1981-11-04,520,520,520,520,0
1981-11-05,520,520,520,520,0
1981-11-06,520,535,515,515,10000
1981-11-09,515,515,515,515,0
1981-11-10,515,515,515,515,0
1981-11-11,515,515,515,515,0
1981-11-12,515,515,515,515,0
1981-11-13,515,535,515,515,10000
1981-11-16,515,515,515,515,0
1981-11-17,515,515,515,515,0
1981-11-18,515,530,515,515,10000
1981-11-19,530,545,530,530,10000
1981-11-20,540,560,540,540,10000
1981-11-23,560,575,560,560,10000
1981-11-24,560,560,560,560,0
1981-11-25,560,560,560,560,0
1981-11-27,575,590,575,575,10000
1981-11-30,575,575,575,575,0
1981-12-01,575,575,575,575,0
1981-12-02,575,575,575,575,0
1981-12-03,575,575,575,575,0
1981-12-04,590,605,590,590,10000
1981-12-07,590,600,585,585,40000
1981-12-08,585,585,585,585,0
1981-12-09,570,570,555,555,30000
1981-12-10,555,555,555,555,0
1981-12-11,555,555,555,555,0
1981-12-14,555,555,555,555,0
1981-12-15,555,555,555,555,0
1981-12-16,555,555,555,555,0
1981-12-17,555,555,555,555,0
1981-12-18,560,575,560,560,20000
1981-12-21,560,575,560,560,10000
1981-12-22,560,560,560,560,0
1981-12-23,560,570,560,560,10000
1981-12-24,560,560,560,560,0
1981-12-28,560,560,560,560,0
1981-12-29,560,570,560,560,30000
1981-12-30,560,570,560,560,10000
1981-12-31,560,560,560,560,0
1982-01-04,560,570,560,560,10000
1982-01-05,560,560,560,560,0
1982-01-06,560,560,560,560,0
1982-01-07,560,560,560,560,0
1982-01-08,560,560,560,560,0
1982-01-11,560,560,560,560,0
1982-01-12,560,560,540,540,20000
1982-01-13,540,555,540,540,10000
1982-01-14,540,540,540,540,0
1982-01-15,540,540,540,540,0
1982-01-18,540,555,540,540,10000
1982-01-19,540,550,535,535,10000
1982-01-20,535,535,535,535,0
1982-01-21,520,520,505,505,20000
1982-01-22,505,520,505,505,20000
1982-01-25,505,520,505,505,10000
1982-01-26,505,520,505,505,10000
1982-01-27,505,520,505,505,20000
1982-01-28,505,520,505,505,20000
1982-01-29,510,525,510,510,40000
1982-02-01,510,525,510,510,10000
1982-02-02,510,510,510,510,0
1982-02-03,510,510,510,510,0
1982-02-04,510,510,510,510,0
1982-02-05,515,530,515,515,30000
1982-02-08,520,530,520,520,10000
1982-02-09,520,530,510,510,10000
1982-02-10,510,530,510,510,30000
1982-02-11,510,510,510,510,0
1982-02-12,510,510,510,510,0
1982-02-16,510,510,510,510,0
1982-02-17,510,530,510,510,10000
1982-02-18,510,530,510,510,10000
1982-02-19,510,530,510,510,20000
1982-02-22,515,530,515,515,20000
1982-02-23,515,515,515,515,0
1982-02-24,515,515,515,515,0
1982-02-25,515,530,515,515,10000
1982-02-26,515,530,515,515,10000
1982-03-01,515,530,515,515,10000
1982-03-02,515,515,515,515,0
1982-03-03,515,515,515,515,0
1982-03-04,515,525,505,505,20000
1982-03-05,505,505,505,505,0
1982-03-08,505,515,495,495,10000
1982-03-09,490,490,475,475,10000
1982-03-10,475,485,465,465,10000
1982-03-11,475,490,475,475,30000
1982-03-12,475,490,475,475,10000
1982-03-15,475,485,465,465,10000
1982-03-16,465,465,465,465,0
1982-03-17,465,480,465,465,10000
1982-03-18,465,465,465,465,0
1982-03-19,465,485,465,465,20000
1982-03-22,465,465,465,465,0
1982-03-23,470,490,470,470,10000
1982-03-24,470,470,470,470,0
1982-03-25,470,490,470,470,10000
1982-03-26,480,490,480,480,40000
1982-03-29,480,490,480,480,10000
1982-03-30,480,480,480,480,0
1982-03-31,480,495,480,480,10000
1982-04-01,480,495,480,480,10000
1982-04-02,480,480,480,480,0
1982-04-05,485,500,485,485,70000
1982-04-06,490,510,490,490,10000
1982-04-07,490,490,490,490,0
1982-04-08,505,520,505,505,40000
1982-04-12,505,505,505,505,0
1982-04-13,510,520,510,510,10000
1982-04-14,510,510,510,510,0
1982-04-15,510,525,510,510,10000
1982-04-16,510,525,505,505,10000
1982-04-19,505,515,500,500,40000
1982-04-20,500,520,500,500,20000
1982-04-21,500,500,500,500,0
1982-04-22,500,500,500,500,0
1982-04-23,510,520,510,510,20000
1982-04-26,510,510,510,510,0
1982-04-27,510,525,510,510,10000
1982-04-28,510,510,510,510,0
1982-04-29,510,510,510,510,0
1982-04-30,510,510,510,510,0
1982-05-03,510,510,510,510,0
1982-05-04,510,520,505,505,10000
1982-05-05,505,520,505,505,10000
1982-05-06,505,520,505,505,10000
1982-05-07,505,520,505,505,10000
1982-05-10,510,525,510,510,20000
1982-05-11,510,530,510,510,20000
1982-05-12,515,530,515,515,10000
1982-05-13,520,535,520,520,60000
1982-05-14,520,535,520,520,30000
1982-05-17,520,520,520,520,0
1982-05-18,520,520,520,520,0
1982-05-19,520,520,520,520,0
1982-05-20,520,520,520,520,0
1982-05-21,520,525,510,510,20000
1982-05-24,510,525,510,510,10000
1982-05-25,510,510,510,510,0
1982-05-26,510,510,510,510,0
1982-05-27,510,510,510,510,0
1982-05-28,510,520,505,505,10000
1982-06-01,505,520,505,505,20000
1982-06-02,505,520,505,505,60000
1982-06-03,505,520,505,505,10000
1982-06-04,505,515,500,500,20000
1982-06-07,500,500,500,500,0
1982-06-08,500,515,495,495,20000
1982-06-09,495,500,480,480,10000
1982-06-10,485,500,485,485,40000
1982-06-11,490,505,490,490,10000
1982-06-14,490,500,485,485,10000
1982-06-15,485,490,480,480,20000
1982-06-16,480,480,480,480,0
1982-06-17,480,480,480,480,0
1982-06-18,480,490,470,470,60000
1982-06-21,470,490,470,470,40000
1982-06-22,475,490,475,475,10000
1982-06-23,475,495,475,475,10000
1982-06-24,475,475,475,475,0
1982-06-25,475,475,475,475,0
1982-06-28,490,505,490,490,10000
1982-06-29,490,490,490,490,0
1982-06-30,495,515,495,495,10000
1982-07-01,495,495,495,495,0
1982-07-02,495,495,495,495,0
1982-07-06,495,510,495,495,10000
1982-07-07,495,510,495,495,40000
1982-07-08,495,495,495,495,0
1982-07-09,495,495,480,480,10000
1982-07-12,480,480,480,480,0
1982-07-13,480,490,475,475,10000
1982-07-14,475,475,475,475,0
1982-07-15,475,490,475,475,10000
1982-07-16,475,490,475,475,10000
1982-07-19,480,490,480,480,10000
1982-07-20,480,480,480,480,0
1982-07-21,480,500,480,480,30000
1982-07-22,480,480,480,480,0
1982-07-23,480,480,480,480,0
1982-07-26,480,500,480,480,10000
1982-07-27,480,480,480,480,0
1982-07-28,480,490,475,475,10000
1982-07-29,475,490,475,475,20000
1982-07-30,475,490,475,475,10000
1982-08-02,475,495,475,475,10000
1982-08-03,475,490,475,475,10000
1982-08-04,475,475,475,475,0
1982-08-05,475,475,475,475,0
1982-08-06,475,475,475,475,0
1982-08-09,475,475,475,475,0
1982-08-10,475,485,465,465,10000
1982-08-11,465,470,450,450,10000
1982-08-12,450,450,450,450,0
1982-08-13,445,445,430,430,20000
1982-08-16,430,430,430,430,0
1982-08-17,445,460,445,445,40000
1982-08-18,450,465,450,450,40000
1982-08-19,450,450,450,450,0
1982-08-20,455,470,455,455,20000
1982-08-23,460,475,460,460,20000
1982-08-24,465,480,465,465,30000
1982-08-25,480,500,480,480,10000
1982-08-26,485,505,485,485,30000
1982-08-27,490,505,490,490,20000
1982-08-30,490,500,485,485,10000
1982-08-31,485,500,485,485,10000
1982-09-01,485,500,485,485,10000
1982-09-02,485,485,485,485,0
1982-09-03,495,515,495,495,40000
1982-09-07,500,515,500,500,20000
1982-09-08,515,535,515,515,60000
1982-09-09,520,540,520,520,20000
1982-09-10,520,520,520,520,0
1982-09-13,520,520,520,520,0
1982-09-14,520,520,520,520,0
1982-09-15,525,535,525,525,30000
1982-09-16,530,545,530,530,10000
1982-09-17,530,530,530,530,0
1982-09-20,535,550,535,535,30000
1982-09-21,540,555,540,540,20000
1982-09-22,540,555,540,540,20000
1982-09-23,550,560,550,550,50000
1982-09-24,550,550,550,550,0
1982-09-27,550,550,550,550,0
1982-09-28,550,550,550,550,0
1982-09-29,550,565,550,550,10000
1982-09-30,550,565,550,550,10000
1982-10-01,550,560,540,540,10000
1982-10-04,545,560,545,545,10000
1982-10-05,545,545,545,545,0
1982-10-06,550,560,550,550,10000
1982-10-07,565,580,565,565,60000
1982-10-08,590,600,590,590,60000
1982-10-11,600,615,600,600,30000
1982-10-12,600,605,595,595,60000
1982-10-13,605,620,605,605,20000
1982-10-14,605,620,600,600,30000
1982-10-15,600,620,600,600,30000
